Comunidad,Grupo Penal,Año,Hechos conocidos,Hechos esclarecidos
Baleares,Contra el honor,2015,50.0,23.0
Baleares,Contra el honor,2014,68.0,34.0
Baleares,Contra el honor,2013,47.0,28.0
Baleares,Contra el honor,2012,34.0,16.0
Baleares,Contra el honor,2011,36.0,20.0
Baleares,Contra la propiedad industrial/intelectual,2019,3.0,2.0
Baleares,Contra la propiedad industrial/intelectual,2018,7.0,3.0
Baleares,Contra la propiedad industrial/intelectual,2017,1.0,1.0
Baleares,Contra la propiedad industrial/intelectual,2016,13.0,10.0
Baleares,Contra la propiedad industrial/intelectual,2015,9.0,8.0
Baleares,Contra la propiedad industrial/intelectual,2014,4.0,1.0
Baleares,Contra la propiedad industrial/intelectual,2013,5.0,3.0
Baleares,Contra la propiedad industrial/intelectual,2012,2.0,2.0
Baleares,Contra la propiedad industrial/intelectual,2011,6.0,6.0
Baleares,Delitos sexuales,2019,43.0,18.0
Baleares,Delitos sexuales,2018,53.0,26.0
Baleares,Delitos sexuales,2017,61.0,29.0
Baleares,Delitos sexuales,2016,70.0,39.0
Baleares,Delitos sexuales,2015,36.0,12.0
Baleares,Delitos sexuales,2014,50.0,25.0
Baleares,Delitos sexuales,2013,44.0,32.0
Baleares,Delitos sexuales,2012,36.0,14.0
Baleares,Delitos sexuales,2011,34.0,4.0
Baleares,Falsificación informática,2019,108.0,22.0
Baleares,Falsificación informática,2018,90.0,21.0
Baleares,Falsificación informática,2017,80.0,17.0
Baleares,Falsificación informática,2016,76.0,11.0
Baleares,Falsificación informática,2015,80.0,12.0
Baleares,Falsificación informática,2014,61.0,14.0
Baleares,Falsificación informática,2013,63.0,6.0
Baleares,Falsificación informática,2012,45.0,16.0
Baleares,Falsificación informática,2011,45.0,14.0
Baleares,Fraude informático,2019,7702.0,521.0
Baleares,Fraude informático,2018,5491.0,308.0
Baleares,Fraude informático,2017,3156.0,241.0
Baleares,Fraude informático,2016,2113.0,196.0
Baleares,Fraude informático,2015,2264.0,214.0
Baleares,Fraude informático,2014,1304.0,180.0
Baleares,Fraude informático,2013,1049.0,211.0
Baleares,Fraude informático,2012,956.0,194.0
Baleares,Fraude informático,2011,749.0,135.0
Baleares,Interferencia en los datos y en el sistema,2019,33.0,1.0
Baleares,Interferencia en los datos y en el sistema,2018,39.0,3.0
Baleares,Interferencia en los datos y en el sistema,2017,30.0,2.0
Baleares,Interferencia en los datos y en el sistema,2016,36.0,3.0
Baleares,Interferencia en los datos y en el sistema,2015,26.0,3.0
Baleares,Interferencia en los datos y en el sistema,2014,15.0,2.0
Baleares,Interferencia en los datos y en el sistema,2013,10.0,0.0
Baleares,Interferencia en los datos y en el sistema,2012,14.0,1.0
Baleares,Interferencia en los datos y en el sistema,2011,3.0,2.0
Canarias,Acceso e interceptación ilícita,2019,197.0,83.0
Canarias,Acceso e interceptación ilícita,2018,141.0,42.0
Canarias,Acceso e interceptación ilícita,2017,114.0,44.0
Canarias,Acceso e interceptación ilícita,2016,111.0,38.0
Canarias,Acceso e interceptación ilícita,2015,108.0,37.0
Canarias,Acceso e interceptación ilícita,2014,77.0,34.0
Canarias,Acceso e interceptación ilícita,2013,92.0,31.0
Canarias,Acceso e interceptación ilícita,2012,70.0,22.0
Canarias,Acceso e interceptación ilícita,2011,82.0,23.0
