Comunidad,Grupo Penal,Año,Hechos conocidos
Andalucía,Contra la propiedad industrial/intelectual,2011,27.0
Andalucía,Delitos sexuales,2019,332.0
Andalucía,Delitos sexuales,2018,330.0
Andalucía,Delitos sexuales,2017,328.0
Andalucía,Delitos sexuales,2016,257.0
Andalucía,Delitos sexuales,2015,283.0
Andalucía,Delitos sexuales,2014,205.0
Andalucía,Delitos sexuales,2013,188.0
Andalucía,Delitos sexuales,2012,133.0
Andalucía,Delitos sexuales,2011,129.0
Andalucía,Falsificación informática,2019,780.0
Andalucía,Falsificación informática,2018,669.0
Andalucía,Falsificación informática,2017,772.0
Andalucía,Falsificación informática,2016,740.0
Andalucía,Falsificación informática,2015,666.0
Andalucía,Falsificación informática,2014,573.0
Andalucía,Falsificación informática,2013,444.0
Andalucía,Falsificación informática,2012,436.0
Andalucía,Falsificación informática,2011,433.0
Andalucía,Fraude informático,2019,23237.0
Andalucía,Fraude informático,2018,15081.0
Andalucía,Fraude informático,2017,10366.0
Andalucía,Fraude informático,2016,8165.0
Andalucía,Fraude informático,2015,6536.0
Andalucía,Fraude informático,2014,5666.0
Andalucía,Fraude informático,2013,4481.0
Andalucía,Fraude informático,2012,4378.0
Andalucía,Fraude informático,2011,3609.0
Andalucía,Interferencia en los datos y en el sistema,2019,233.0
Andalucía,Interferencia en los datos y en el sistema,2018,205.0
Andalucía,Interferencia en los datos y en el sistema,2017,195.0
Andalucía,Interferencia en los datos y en el sistema,2016,193.0
Andalucía,Interferencia en los datos y en el sistema,2015,144.0
Andalucía,Interferencia en los datos y en el sistema,2014,99.0
Andalucía,Interferencia en los datos y en el sistema,2013,69.0
Andalucía,Interferencia en los datos y en el sistema,2012,58.0
Andalucía,Interferencia en los datos y en el sistema,2011,57.0
Aragón,Acceso e interceptación ilícita,2019,73.0
Aragón,Acceso e interceptación ilícita,2018,75.0
Aragón,Acceso e interceptación ilícita,2017,68.0
Aragón,Acceso e interceptación ilícita,2016,100.0
Aragón,Acceso e interceptación ilícita,2015,72.0
Aragón,Acceso e interceptación ilícita,2014,64.0
Aragón,Acceso e interceptación ilícita,2013,82.0
Aragón,Acceso e interceptación ilícita,2012,67.0
Aragón,Acceso e interceptación ilícita,2011,68.0
Aragón,Amenazas y coacciones,2019,318.0
Aragón,Amenazas y coacciones,2018,339.0
Aragón,Amenazas y coacciones,2017,296.0
Aragón,Amenazas y coacciones,2016,338.0
Aragón,Amenazas y coacciones,2015,258.0
Aragón,Amenazas y coacciones,2014,273.0
Aragón,Amenazas y coacciones,2013,279.0
Aragón,Amenazas y coacciones,2012,232.0
Aragón,Amenazas y coacciones,2011,329.0
Aragón,Contra el honor,2019,20.0
Aragón,Contra el honor,2018,50.0
Aragón,Contra el honor,2017,40.0
Aragón,Contra el honor,2016,60.0
Aragón,Contra el honor,2015,73.0
Aragón,Contra el honor,2014,77.0
Aragón,Contra el honor,2013,87.0
Aragón,Contra el honor,2012,79.0
Aragón,Contra el honor,2011,87.0
Aragón,Contra la propiedad industrial/intelectual,2019,4.0
Aragón,Contra la propiedad industrial/intelectual,2018,0.0
Aragón,Contra la propiedad industrial/intelectual,2017,4.0
Aragón,Contra la propiedad industrial/intelectual,2016,3.0
Aragón,Contra la propiedad industrial/intelectual,2015,3.0
Aragón,Contra la propiedad industrial/intelectual,2014,3.0
Aragón,Contra la propiedad industrial/intelectual,2013,4.0
Aragón,Contra la propiedad industrial/intelectual,2012,4.0
Aragón,Contra la propiedad industrial/intelectual,2011,2.0
Aragón,Delitos sexuales,2019,42.0
Aragón,Delitos sexuales,2018,30.0
Aragón,Delitos sexuales,2017,36.0
Aragón,Delitos sexuales,2016,29.0
Aragón,Delitos sexuales,2015,34.0
Aragón,Delitos sexuales,2014,31.0
Aragón,Delitos sexuales,2013,29.0
Aragón,Delitos sexuales,2012,20.0
Aragón,Delitos sexuales,2011,33.0
Aragón,Falsificación informática,2019,101.0
Aragón,Falsificación informática,2018,97.0
Aragón,Falsificación informática,2017,59.0
Aragón,Falsificación informática,2016,54.0
Aragón,Falsificación informática,2015,58.0
Aragón,Falsificación informática,2014,39.0
Aragón,Falsificación informática,2013,42.0
Aragón,Falsificación informática,2012,30.0
Aragón,Falsificación informática,2011,57.0
Aragón,Fraude informático,2019,4536.0
Aragón,Fraude informático,2018,3131.0
Aragón,Fraude informático,2017,1860.0
Aragón,Fraude informático,2016,1437.0
Aragón,Fraude informático,2015,1470.0
Aragón,Fraude informático,2014,1426.0
Aragón,Fraude informático,2013,927.0
Aragón,Fraude informático,2012,984.0
Aragón,Fraude informático,2011,631.0
Aragón,Interferencia en los datos y en el sistema,2019,69.0
Aragón,Interferencia en los datos y en el sistema,2018,47.0
Aragón,Interferencia en los datos y en el sistema,2017,63.0
Aragón,Interferencia en los datos y en el sistema,2016,45.0
Aragón,Interferencia en los datos y en el sistema,2015,45.0
Aragón,Interferencia en los datos y en el sistema,2014,13.0
Aragón,Interferencia en los datos y en el sistema,2013,18.0
Aragón,Interferencia en los datos y en el sistema,2012,8.0
Aragón,Interferencia en los datos y en el sistema,2011,5.0
Asturias,Acceso e interceptación ilícita,2019,83.0
Asturias,Acceso e interceptación ilícita,2018,47.0
Asturias,Acceso e interceptación ilícita,2017,51.0
Asturias,Acceso e interceptación ilícita,2016,44.0
Asturias,Acceso e interceptación ilícita,2015,42.0
Asturias,Acceso e interceptación ilícita,2014,42.0
Asturias,Acceso e interceptación ilícita,2013,35.0
Asturias,Acceso e interceptación ilícita,2012,36.0
Asturias,Acceso e interceptación ilícita,2011,44.0
Asturias,Amenazas y coacciones,2019,296.0
Asturias,Amenazas y coacciones,2018,248.0
Asturias,Amenazas y coacciones,2017,253.0
Asturias,Amenazas y coacciones,2016,275.0
Asturias,Amenazas y coacciones,2015,219.0
Asturias,Amenazas y coacciones,2014,239.0
Asturias,Amenazas y coacciones,2013,284.0
Asturias,Amenazas y coacciones,2012,255.0
Asturias,Amenazas y coacciones,2011,232.0
Asturias,Contra el honor,2019,34.0
Asturias,Contra el honor,2018,62.0
Asturias,Contra el honor,2017,57.0
Asturias,Contra el honor,2016,55.0
Asturias,Contra el honor,2015,67.0
Asturias,Contra el honor,2014,84.0
Asturias,Contra el honor,2013,104.0
Asturias,Contra el honor,2012,78.0
Asturias,Contra el honor,2011,63.0
Asturias,Contra la propiedad industrial/intelectual,2019,3.0
Asturias,Contra la propiedad industrial/intelectual,2018,2.0
Asturias,Contra la propiedad industrial/intelectual,2017,0.0
Asturias,Contra la propiedad industrial/intelectual,2016,3.0
Asturias,Contra la propiedad industrial/intelectual,2015,3.0
Asturias,Contra la propiedad industrial/intelectual,2014,3.0
Asturias,Contra la propiedad industrial/intelectual,2013,4.0
Asturias,Contra la propiedad industrial/intelectual,2012,4.0
Asturias,Contra la propiedad industrial/intelectual,2011,2.0
Asturias,Delitos sexuales,2019,22.0
Asturias,Delitos sexuales,2018,31.0
Asturias,Delitos sexuales,2017,17.0
Asturias,Delitos sexuales,2016,19.0
Asturias,Delitos sexuales,2015,26.0
Asturias,Delitos sexuales,2014,22.0
Asturias,Delitos sexuales,2013,19.0
Asturias,Delitos sexuales,2012,16.0
Asturias,Delitos sexuales,2011,11.0
Asturias,Falsificación informática,2019,51.0
Asturias,Falsificación informática,2018,36.0
Asturias,Falsificación informática,2017,29.0
Asturias,Falsificación informática,2016,26.0
Asturias,Falsificación informática,2015,21.0
Asturias,Falsificación informática,2014,27.0
Asturias,Falsificación informática,2013,23.0
Asturias,Falsificación informática,2012,30.0
Asturias,Falsificación informática,2011,21.0
Asturias,Fraude informático,2019,3657.0
Asturias,Fraude informático,2018,2371.0
Asturias,Fraude informático,2017,1677.0
Asturias,Fraude informático,2016,1277.0
Asturias,Fraude informático,2015,1002.0
Asturias,Fraude informático,2014,690.0
Asturias,Fraude informático,2013,585.0
Asturias,Fraude informático,2012,475.0
Asturias,Fraude informático,2011,376.0
Asturias,Interferencia en los datos y en el sistema,2019,16.0
Asturias,Interferencia en los datos y en el sistema,2018,12.0
Asturias,Interferencia en los datos y en el sistema,2017,18.0
Asturias,Interferencia en los datos y en el sistema,2016,15.0
Asturias,Interferencia en los datos y en el sistema,2015,13.0
Asturias,Interferencia en los datos y en el sistema,2014,6.0
Asturias,Interferencia en los datos y en el sistema,2013,10.0
Asturias,Interferencia en los datos y en el sistema,2012,7.0
Asturias,Interferencia en los datos y en el sistema,2011,8.0
Baleares,Acceso e interceptación ilícita,2019,128.0
Baleares,Acceso e interceptación ilícita,2018,103.0
Baleares,Acceso e interceptación ilícita,2017,82.0
Baleares,Acceso e interceptación ilícita,2016,96.0
Baleares,Acceso e interceptación ilícita,2015,103.0
Baleares,Acceso e interceptación ilícita,2014,82.0
Baleares,Acceso e interceptación ilícita,2013,79.0
Baleares,Acceso e interceptación ilícita,2012,63.0
Baleares,Acceso e interceptación ilícita,2011,77.0
Baleares,Amenazas y coacciones,2019,448.0
Baleares,Amenazas y coacciones,2018,459.0
Baleares,Amenazas y coacciones,2017,449.0
Baleares,Amenazas y coacciones,2016,454.0
Baleares,Amenazas y coacciones,2015,457.0
Baleares,Amenazas y coacciones,2014,359.0
Baleares,Amenazas y coacciones,2013,311.0
Baleares,Amenazas y coacciones,2012,270.0
Baleares,Amenazas y coacciones,2011,324.0
Baleares,Contra el honor,2019,43.0
Baleares,Contra el honor,2018,35.0
Baleares,Contra el honor,2017,17.0
Baleares,Contra el honor,2016,34.0
Baleares,Contra el honor,2015,50.0
Baleares,Contra el honor,2014,68.0
Baleares,Contra el honor,2013,47.0
Baleares,Contra el honor,2012,34.0
Baleares,Contra el honor,2011,36.0
Baleares,Contra la propiedad industrial/intelectual,2019,3.0
Baleares,Contra la propiedad industrial/intelectual,2018,7.0
Baleares,Contra la propiedad industrial/intelectual,2017,1.0
Baleares,Contra la propiedad industrial/intelectual,2016,13.0
Baleares,Contra la propiedad industrial/intelectual,2015,9.0
Baleares,Contra la propiedad industrial/intelectual,2014,4.0
Baleares,Contra la propiedad industrial/intelectual,2013,5.0
Baleares,Contra la propiedad industrial/intelectual,2012,2.0
Baleares,Contra la propiedad industrial/intelectual,2011,6.0
Baleares,Delitos sexuales,2019,43.0
Baleares,Delitos sexuales,2018,53.0
Baleares,Delitos sexuales,2017,61.0
Baleares,Delitos sexuales,2016,70.0
Baleares,Delitos sexuales,2015,36.0
Baleares,Delitos sexuales,2014,50.0
Baleares,Delitos sexuales,2013,44.0
Baleares,Delitos sexuales,2012,36.0
Baleares,Delitos sexuales,2011,34.0
Baleares,Falsificación informática,2019,108.0
Baleares,Falsificación informática,2018,90.0
Baleares,Falsificación informática,2017,80.0
Baleares,Falsificación informática,2016,76.0
Baleares,Falsificación informática,2015,80.0
Baleares,Falsificación informática,2014,61.0
Baleares,Falsificación informática,2013,63.0
Baleares,Falsificación informática,2012,45.0
Baleares,Falsificación informática,2011,45.0
Baleares,Fraude informático,2019,7702.0
Baleares,Fraude informático,2018,5491.0
Baleares,Fraude informático,2017,3156.0
Baleares,Fraude informático,2016,2113.0
Baleares,Fraude informático,2015,2264.0
Baleares,Fraude informático,2014,1304.0
Baleares,Fraude informático,2013,1049.0
Baleares,Fraude informático,2012,956.0
Baleares,Fraude informático,2011,749.0
Baleares,Interferencia en los datos y en el sistema,2019,33.0
Baleares,Interferencia en los datos y en el sistema,2018,39.0
Baleares,Interferencia en los datos y en el sistema,2017,30.0
Baleares,Interferencia en los datos y en el sistema,2016,36.0
Baleares,Interferencia en los datos y en el sistema,2015,26.0
Baleares,Interferencia en los datos y en el sistema,2014,15.0
Baleares,Interferencia en los datos y en el sistema,2013,10.0
Baleares,Interferencia en los datos y en el sistema,2012,14.0
Baleares,Interferencia en los datos y en el sistema,2011,3.0
Canarias,Acceso e interceptación ilícita,2019,197.0
Canarias,Acceso e interceptación ilícita,2018,141.0
Canarias,Acceso e interceptación ilícita,2017,114.0
Canarias,Acceso e interceptación ilícita,2016,111.0
Canarias,Acceso e interceptación ilícita,2015,108.0
Canarias,Acceso e interceptación ilícita,2014,77.0
Canarias,Acceso e interceptación ilícita,2013,92.0
Canarias,Acceso e interceptación ilícita,2012,70.0
Canarias,Acceso e interceptación ilícita,2011,82.0
Canarias,Amenazas y coacciones,2019,861.0
Canarias,Amenazas y coacciones,2018,847.0
Canarias,Amenazas y coacciones,2017,759.0
Canarias,Amenazas y coacciones,2016,848.0
Canarias,Amenazas y coacciones,2015,729.0
Canarias,Amenazas y coacciones,2014,717.0
Canarias,Amenazas y coacciones,2013,673.0
Canarias,Amenazas y coacciones,2012,750.0
Canarias,Amenazas y coacciones,2011,818.0
Canarias,Contra el honor,2019,95.0
Canarias,Contra el honor,2018,74.0
Canarias,Contra el honor,2017,88.0
Canarias,Contra el honor,2016,77.0
Canarias,Contra el honor,2015,126.0
Canarias,Contra el honor,2014,124.0
Canarias,Contra el honor,2013,86.0
Canarias,Contra el honor,2012,97.0
Canarias,Contra el honor,2011,139.0
Canarias,Contra la propiedad industrial/intelectual,2019,4.0
Canarias,Contra la propiedad industrial/intelectual,2018,2.0
Canarias,Contra la propiedad industrial/intelectual,2017,4.0
Canarias,Contra la propiedad industrial/intelectual,2016,6.0
Canarias,Contra la propiedad industrial/intelectual,2015,5.0
Canarias,Contra la propiedad industrial/intelectual,2014,2.0
Canarias,Contra la propiedad industrial/intelectual,2013,1.0
Canarias,Contra la propiedad industrial/intelectual,2012,3.0
Canarias,Contra la propiedad industrial/intelectual,2011,11.0
Canarias,Delitos sexuales,2019,129.0
Canarias,Delitos sexuales,2018,87.0
Canarias,Delitos sexuales,2017,75.0
Canarias,Delitos sexuales,2016,52.0
Canarias,Delitos sexuales,2015,65.0
Canarias,Delitos sexuales,2014,57.0
Canarias,Delitos sexuales,2013,50.0
Canarias,Delitos sexuales,2012,70.0
Canarias,Delitos sexuales,2011,52.0
Canarias,Falsificación informática,2019,205.0
Canarias,Falsificación informática,2018,152.0
Canarias,Falsificación informática,2017,209.0
Canarias,Falsificación informática,2016,97.0
Canarias,Falsificación informática,2015,110.0
Canarias,Falsificación informática,2014,66.0
Canarias,Falsificación informática,2013,69.0
Canarias,Falsificación informática,2012,51.0
Canarias,Falsificación informática,2011,83.0
Canarias,Fraude informático,2019,7286.0
